,precision,recall,f1-score,support
EOSINOPHIL,0.7915194346289752,0.9572649572649573,0.8665377176015474,468.0
LYMPHOCYTE,0.9935064935064936,0.9849785407725322,0.9892241379310345,466.0
MONOCYTE,0.9680170575692963,0.9763440860215054,0.9721627408993576,465.0
NEUTROPHIL,0.9432432432432433,0.7457264957264957,0.8329355608591885,468.0
accuracy,0.915907873594001,0.915907873594001,0.915907873594001,0.915907873594001
macro avg,0.9240715572370021,0.9160785199463726,0.915215039322782,1867.0
weighted avg,0.9239265618574971,0.915907873594001,0.9150442512660353,1867.0
